x-ai/grok-4.1-fast:free
tngtech/deepseek-r1t2-chimera:free
google/gemma-3-27b-it:free
openai/gpt-oss-20b:free
arcee-ai/trinity-mini:free
tngtech/tng-r1t-chimera:free
kwaipilot/kat-coder-pro:free
nvidia/nemotron-nano-12b-v2-vl:free
alibaba/tongyi-deepresearch-30b-a3b:free
meituan/longcat-flash-chat:free
nvidia/nemotron-nano-9b-v2:free
z-ai/glm-4.5-air:free
qwen/qwen3-coder:free
moonshotai/kimi-k2:free
cognitivecomputations/dolphin-mistral-24b-venice-edition:free
google/gemma-3n-e2b-it:free
google/gemma-3n-e4b-it:free
qwen/qwen3-4b:free
tngtech/deepseek-r1t-chimera:free
mistralai/mistral-small-3.1-24b-instruct:free
google/gemma-3-4b-it:free
google/gemma-3-12b-it:free
google/gemini-2.0-flash-exp:free
meta-llama/llama-3.3-70b-instruct:free
meta-llama/llama-3.2-3b-instruct:free
nousresearch/hermes-3-llama-3.1-405b:free
mistralai/mistral-7b-instruct:free
